task_id,asset_id,section_id,asset_type,task_type,defect_type,severity,criticality,inspection_date,reported_date,due_date,estimated_duration_hours,required_team_size,safety_impact,status,signal_block_required
SIG0895,AST0830,SEC005,Communication Equipment,Communication Equipment Repair,Radio fault,1,CRITICAL,2025-06-29,2025-06-30,2025-07-05,9.1,3,HIGH,Completed,False
SIG0896,AST0715,SEC040,Axle Counter,Communication Equipment Repair,OFC splice loss,3,MEDIUM,2025-01-23,2025-01-23,2025-02-08,9.7,13,MEDIUM,Completed,False
SIG0897,AST0784,SEC034,Signal,Interlocking Test,Signal interlocking mismatch,1,CRITICAL,2025-11-16,2025-11-19,2025-11-26,10.4,14,HIGH,Scheduled,False
SIG0898,AST0839,SEC014,Level Crossing Equipment,Communication Equipment Repair,OFC splice loss,2,HIGH,2025-12-10,2025-12-11,2025-12-26,9.6,11,HIGH,Completed,False
SIG0899,AST0740,SEC065,Interlocking,Signal Inspection,Signal post tilt,3,MEDIUM,2025-05-26,2025-05-29,2025-06-16,3.6,10,MEDIUM,Cancelled,True
SIG0900,AST0872,SEC047,Signal,Interlocking Test,Route locking fault,2,HIGH,2025-07-24,2025-07-25,2025-08-03,8.9,13,HIGH,Scheduled,True
SIG0901,AST0782,SEC032,Communication Equipment,Level Crossing Maintenance,Boom barrier fault,5,LOW,2025-08-22,2025-08-23,2025-10-27,4.0,6,LOW,Pending,False
SIG0902,AST0975,SEC075,Level Crossing Equipment,Point Machine Servicing,Lock bar defect,3,MEDIUM,2025-08-31,2025-09-03,2025-09-21,9.9,6,MEDIUM,Scheduled,False
SIG0903,AST0711,SEC036,Level Crossing Equipment,Level Crossing Maintenance,Boom barrier fault,3,MEDIUM,2025-05-10,2025-05-11,2025-06-06,10.5,7,MEDIUM,Completed,False
SIG0904,AST0991,SEC016,Level Crossing Equipment,Interlocking Test,Route locking fault,3,MEDIUM,2025-12-16,2025-12-19,2026-01-12,7.7,15,MEDIUM,Scheduled,True
SIG0905,AST0788,SEC038,Interlocking,Signal Inspection,Lens damage,2,HIGH,2025-01-25,2025-01-25,2025-02-06,1.1,6,HIGH,Completed,True
SIG0906,AST0744,SEC069,Signal,Interlocking Test,Signal interlocking mismatch,3,MEDIUM,2025-04-15,2025-04-15,2025-05-02,2.3,7,MEDIUM,Completed,True
SIG0907,AST0814,SEC064,Communication Equipment,Axle Counter Calibration,Sensor misalignment,1,CRITICAL,2025-09-10,2025-09-12,2025-09-15,7.5,13,HIGH,Cancelled,False
SIG0908,AST0788,SEC038,Interlocking,Point Machine Servicing,Motor fault,3,MEDIUM,2025-05-18,2025-05-19,2025-06-17,7.5,3,MEDIUM,Scheduled,True
SIG0909,AST0938,SEC038,Track Circuit,Point Machine Servicing,Detection rod issue,4,LOW,2025-10-31,2025-11-03,2026-01-02,4.7,4,LOW,Pending,True
SIG0910,AST0753,SEC003,Point Machine,Axle Counter Calibration,Count error,3,MEDIUM,2025-10-28,2025-10-29,2025-11-20,2.6,15,MEDIUM,Pending,True
SIG0911,AST0706,SEC031,Track Circuit,Track Circuit Maintenance,Feed-end issue,1,CRITICAL,2025-06-22,2025-06-22,2025-06-28,11.2,4,HIGH,Completed,True
SIG0912,AST0878,SEC053,Communication Equipment,Point Machine Servicing,Lock bar defect,3,MEDIUM,2025-06-19,2025-06-21,2025-07-13,7.2,2,MEDIUM,Completed,False
SIG0913,AST0883,SEC058,Axle Counter,Signal Inspection,Lens damage,3,MEDIUM,2025-07-20,2025-07-21,2025-08-20,4.6,10,MEDIUM,Scheduled,True
SIG0914,AST0792,SEC042,Signal,Point Machine Servicing,Clutch slip,4,LOW,2025-10-18,2025-10-18,2025-11-27,10.2,2,LOW,In Progress,True
SIG0915,AST0786,SEC036,Track Circuit,Relay Replacement,Contact oxidation,2,HIGH,2025-05-16,2025-05-18,2025-05-28,3.4,3,HIGH,Completed,True
SIG0916,AST0810,SEC060,Track Circuit,Level Crossing Maintenance,Gate motor issue,1,CRITICAL,2025-02-09,2025-02-09,2025-02-14,9.4,10,HIGH,Pending,True
SIG0917,AST0849,SEC024,Point Machine,Point Machine Servicing,Clutch slip,3,MEDIUM,2025-06-22,2025-06-23,2025-07-23,3.2,8,MEDIUM,Pending,True
SIG0918,AST0920,SEC020,Signal,Signal Inspection,Signal post tilt,2,HIGH,2025-09-05,2025-09-08,2025-09-21,4.9,4,HIGH,Completed,True
SIG0919,AST0823,SEC073,Level Crossing Equipment,Interlocking Test,Overlap fault,2,HIGH,2025-11-28,2025-11-30,2025-12-11,10.5,4,HIGH,In Progress,False
SIG0920,AST0805,SEC055,Relay,Track Circuit Maintenance,Insulation failure,3,MEDIUM,2025-04-08,2025-04-11,2025-05-07,10.8,8,MEDIUM,Scheduled,False
SIG0921,AST0798,SEC048,Communication Equipment,Level Crossing Maintenance,Lighting defect,2,HIGH,2025-01-22,2025-01-23,2025-01-31,7.7,10,HIGH,Scheduled,False
SIG0922,AST0869,SEC044,Relay,Point Machine Servicing,Lock bar defect,1,CRITICAL,2025-08-10,2025-08-10,2025-08-14,3.8,12,HIGH,Scheduled,True
SIG0923,AST0841,SEC016,Point Machine,Track Circuit Maintenance,Feed-end issue,2,HIGH,2025-02-17,2025-02-18,2025-02-28,5.3,3,HIGH,In Progress,True
SIG0924,AST0792,SEC042,Signal,Point Machine Servicing,Detection rod issue,3,MEDIUM,2025-05-22,2025-05-24,2025-06-08,1.0,13,MEDIUM,In Progress,True
SIG0925,AST0959,SEC059,Level Crossing Equipment,Track Circuit Maintenance,Receiver fault,4,LOW,2025-04-09,2025-04-12,2025-06-06,3.2,3,LOW,Completed,False
SIG0926,AST0880,SEC055,Signal,Signal Inspection,Lens damage,2,HIGH,2025-09-26,2025-09-29,2025-10-11,9.9,14,HIGH,Pending,True
SIG0927,AST0735,SEC060,Level Crossing Equipment,Relay Replacement,Coil failure,3,MEDIUM,2025-06-30,2025-07-02,2025-07-28,10.0,15,MEDIUM,Cancelled,False
SIG0928,AST0870,SEC045,Communication Equipment,Level Crossing Maintenance,Gate motor issue,3,MEDIUM,2025-12-03,2025-12-06,2025-12-25,11.2,9,MEDIUM,Completed,True
SIG0929,AST0889,SEC064,Point Machine,Interlocking Test,Logic error,3,MEDIUM,2025-02-10,2025-02-11,2025-02-25,6.5,3,MEDIUM,Completed,True
SIG0930,AST0785,SEC035,Point Machine,Level Crossing Maintenance,Gate motor issue,5,LOW,2025-03-04,2025-03-06,2025-04-24,5.0,9,LOW,Scheduled,True
SIG0931,AST0899,SEC074,Axle Counter,Relay Replacement,Mechanical wear,2,HIGH,2025-07-06,2025-07-08,2025-07-20,4.5,14,HIGH,Scheduled,False
SIG0932,AST0851,SEC026,Axle Counter,Signal Inspection,Signal post tilt,4,LOW,2025-08-02,2025-08-03,2025-09-12,2.1,10,LOW,Completed,False
SIG0933,AST0961,SEC061,Point Machine,Signal Inspection,Signal post tilt,4,LOW,2025-11-09,2025-11-11,2025-12-12,2.0,14,LOW,Completed,True
SIG0934,AST0744,SEC069,Signal,Track Circuit Maintenance,Receiver fault,4,LOW,2025-09-14,2025-09-15,2025-11-12,7.0,11,LOW,Completed,True
SIG0935,AST0771,SEC021,Axle Counter,Level Crossing Maintenance,Lighting defect,4,LOW,2025-07-08,2025-07-08,2025-08-05,6.8,2,LOW,Pending,True
SIG0936,AST0898,SEC073,Track Circuit,Track Circuit Maintenance,Receiver fault,3,MEDIUM,2025-04-08,2025-04-11,2025-05-04,6.6,13,MEDIUM,Pending,True
SIG0937,AST0934,SEC034,Communication Equipment,Interlocking Test,Signal interlocking mismatch,4,LOW,2025-01-13,2025-01-16,2025-02-25,1.2,4,LOW,Completed,True
SIG0938,AST0797,SEC047,Relay,Track Circuit Maintenance,Insulation failure,3,MEDIUM,2025-10-09,2025-10-10,2025-11-09,7.4,7,MEDIUM,Completed,False
SIG0939,AST0728,SEC053,Signal,Point Machine Servicing,Clutch slip,5,LOW,2025-11-03,2025-11-05,2026-01-26,1.7,13,LOW,Scheduled,True
SIG0940,AST0930,SEC030,Track Circuit,Axle Counter Calibration,Cable fault,5,LOW,2025-12-14,2025-12-16,2026-03-02,4.1,7,LOW,Scheduled,True
SIG0941,AST0731,SEC056,Axle Counter,Level Crossing Maintenance,Boom barrier fault,3,MEDIUM,2025-04-11,2025-04-11,2025-04-27,11.5,6,MEDIUM,Scheduled,False
SIG0942,AST0927,SEC027,Level Crossing Equipment,Communication Equipment Repair,Control phone failure,3,MEDIUM,2025-02-01,2025-02-01,2025-02-18,8.0,4,MEDIUM,Pending,False
SIG0943,AST0725,SEC050,Relay,Communication Equipment Repair,Fiber break,3,MEDIUM,2025-02-05,2025-02-06,2025-03-08,10.4,13,MEDIUM,Completed,False
SIG0944,AST0737,SEC062,Point Machine,Communication Equipment Repair,Radio fault,3,MEDIUM,2025-07-22,2025-07-25,2025-08-23,1.3,12,MEDIUM,Scheduled,True
SIG0945,AST0780,SEC030,Interlocking,Communication Equipment Repair,Radio fault,4,LOW,2025-06-05,2025-06-07,2025-08-01,5.6,4,LOW,Completed,True
SIG0946,AST0798,SEC048,Communication Equipment,Interlocking Test,Signal interlocking mismatch,2,HIGH,2025-08-28,2025-08-29,2025-09-13,9.8,8,HIGH,In Progress,False
SIG0947,AST0750,SEC075,Communication Equipment,Point Machine Servicing,Clutch slip,4,LOW,2025-12-15,2025-12-18,2026-01-27,8.0,2,LOW,Pending,True
SIG0948,AST0905,SEC005,Point Machine,Interlocking Test,Logic error,3,MEDIUM,2025-02-18,2025-02-19,2025-03-21,9.8,11,MEDIUM,Completed,True
SIG0949,AST0885,SEC060,Relay,Signal Inspection,Aspect error,4,LOW,2025-06-10,2025-06-11,2025-07-25,2.8,13,LOW,Completed,True
SIG0950,AST0899,SEC074,Axle Counter,Level Crossing Maintenance,Gate motor issue,3,MEDIUM,2025-03-20,2025-03-22,2025-04-16,2.8,8,MEDIUM,Pending,False
SIG0951,AST0832,SEC007,Signal,Track Circuit Maintenance,Feed-end issue,2,HIGH,2025-10-08,2025-10-09,2025-10-16,10.6,11,HIGH,Scheduled,True
SIG0952,AST0726,SEC051,Communication Equipment,Communication Equipment Repair,Control phone failure,2,HIGH,2025-04-05,2025-04-08,2025-04-20,5.9,15,HIGH,Pending,True
SIG0953,AST0787,SEC037,Axle Counter,Level Crossing Maintenance,Boom barrier fault,2,HIGH,2025-02-23,2025-02-24,2025-03-05,6.7,12,HIGH,Pending,False
SIG0954,AST0702,SEC027,Communication Equipment,Point Machine Servicing,Lock bar defect,4,LOW,2025-11-22,2025-11-22,2026-01-11,10.1,8,LOW,Pending,False
SIG0955,AST0808,SEC058,Signal,Axle Counter Calibration,Count error,3,MEDIUM,2025-04-13,2025-04-14,2025-05-07,3.4,13,MEDIUM,Completed,True
SIG0956,AST0707,SEC032,Axle Counter,Relay Replacement,Mechanical wear,2,HIGH,2025-10-06,2025-10-08,2025-10-16,3.0,11,HIGH,Pending,False
SIG0957,AST0915,SEC015,Axle Counter,Communication Equipment Repair,Radio fault,4,LOW,2025-04-01,2025-04-03,2025-05-20,3.9,14,LOW,Cancelled,True
SIG0958,AST0724,SEC049,Interlocking,Signal Inspection,Signal post tilt,2,HIGH,2025-02-24,2025-02-26,2025-03-06,9.8,5,HIGH,Completed,True
SIG0959,AST0916,SEC016,Interlocking,Interlocking Test,Logic error,3,MEDIUM,2025-12-15,2025-12-18,2026-01-11,5.5,9,MEDIUM,Scheduled,True
SIG0960,AST0770,SEC020,Track Circuit,Signal Inspection,Aspect error,1,CRITICAL,2025-07-28,2025-07-29,2025-08-01,6.6,7,HIGH,Completed,True
SIG0961,AST0976,SEC001,Signal,Relay Replacement,Mechanical wear,5,LOW,2025-04-16,2025-04-17,2025-06-22,5.1,11,LOW,Pending,True
SIG0962,AST0874,SEC049,Track Circuit,Interlocking Test,Signal interlocking mismatch,2,HIGH,2025-09-25,2025-09-25,2025-10-07,6.4,4,HIGH,In Progress,True
SIG0963,AST0734,SEC059,Communication Equipment,Relay Replacement,Mechanical wear,5,LOW,2025-10-01,2025-10-03,2025-11-16,10.3,13,LOW,Completed,False
SIG0964,AST0718,SEC043,Communication Equipment,Signal Inspection,Lens damage,3,MEDIUM,2025-11-26,2025-11-26,2025-12-20,10.5,14,MEDIUM,In Progress,True
SIG0965,AST0782,SEC032,Communication Equipment,Relay Replacement,Mechanical wear,1,CRITICAL,2025-10-20,2025-10-23,2025-10-27,2.8,11,HIGH,Completed,False
SIG0966,AST0820,SEC070,Interlocking,Point Machine Servicing,Lock bar defect,4,LOW,2025-04-05,2025-04-06,2025-06-04,7.4,6,LOW,Completed,True
SIG0967,AST0723,SEC048,Axle Counter,Axle Counter Calibration,Count error,3,MEDIUM,2025-06-24,2025-06-26,2025-07-15,6.3,8,MEDIUM,Completed,False
SIG0968,AST0807,SEC057,Level Crossing Equipment,Signal Inspection,Signal post tilt,2,HIGH,2025-08-09,2025-08-09,2025-08-21,2.1,6,HIGH,In Progress,False
SIG0969,AST0945,SEC045,Point Machine,Signal Inspection,Signal post tilt,2,HIGH,2025-11-27,2025-11-27,2025-12-04,8.2,8,HIGH,Completed,True
SIG0970,AST0869,SEC044,Relay,Communication Equipment Repair,Radio fault,2,HIGH,2025-04-29,2025-04-29,2025-05-10,3.8,7,HIGH,Pending,False
SIG0971,AST0719,SEC044,Level Crossing Equipment,Level Crossing Maintenance,Boom barrier fault,4,LOW,2025-02-05,2025-02-05,2025-03-23,1.8,14,LOW,Completed,False
SIG0972,AST0785,SEC035,Point Machine,Point Machine Servicing,Lock bar defect,1,CRITICAL,2025-09-19,2025-09-20,2025-09-25,7.7,12,HIGH,Cancelled,True
SIG0973,AST0999,SEC024,Level Crossing Equipment,Level Crossing Maintenance,Gate motor issue,3,MEDIUM,2025-06-07,2025-06-08,2025-07-05,4.0,3,MEDIUM,Scheduled,False
SIG0974,AST0965,SEC065,Relay,Interlocking Test,Logic error,4,LOW,2025-07-14,2025-07-14,2025-09-03,1.1,7,LOW,Pending,False
SIG0975,AST0746,SEC071,Track Circuit,Axle Counter Calibration,Reset failure,3,MEDIUM,2025-05-14,2025-05-14,2025-05-31,3.1,7,MEDIUM,Completed,False
SIG0976,AST0929,SEC029,Point Machine,Point Machine Servicing,Clutch slip,1,CRITICAL,2025-11-03,2025-11-05,2025-11-09,5.4,10,HIGH,Completed,True
SIG0977,AST0724,SEC049,Interlocking,Relay Replacement,Contact oxidation,3,MEDIUM,2025-08-22,2025-08-22,2025-09-10,6.5,3,MEDIUM,Scheduled,False
SIG0978,AST0854,SEC029,Communication Equipment,Signal Inspection,Signal post tilt,1,CRITICAL,2025-01-04,2025-01-06,2025-01-13,9.6,5,HIGH,Pending,False
SIG0979,AST0981,SEC006,Relay,Communication Equipment Repair,Radio fault,2,HIGH,2025-09-22,2025-09-25,2025-10-04,6.5,14,HIGH,Cancelled,True
SIG0980,AST0764,SEC014,Interlocking,Signal Inspection,Lens damage,4,LOW,2025-05-31,2025-06-01,2025-07-02,3.0,2,LOW,Completed,True
SIG0981,AST0915,SEC015,Axle Counter,Track Circuit Maintenance,Feed-end issue,3,MEDIUM,2025-09-17,2025-09-19,2025-10-19,4.3,5,MEDIUM,Pending,False
SIG0982,AST0919,SEC019,Level Crossing Equipment,Axle Counter Calibration,Sensor misalignment,2,HIGH,2025-11-03,2025-11-05,2025-11-15,5.7,14,HIGH,Completed,False
SIG0983,AST0807,SEC057,Level Crossing Equipment,Relay Replacement,Timing drift,3,MEDIUM,2025-09-20,2025-09-21,2025-10-10,8.3,14,MEDIUM,Completed,False
SIG0984,AST0712,SEC037,Signal,Track Circuit Maintenance,Receiver fault,5,LOW,2025-04-10,2025-04-13,2025-06-11,1.1,13,LOW,Completed,True
SIG0985,AST0879,SEC054,Level Crossing Equipment,Axle Counter Calibration,Cable fault,2,HIGH,2025-10-29,2025-10-30,2025-11-11,9.5,11,HIGH,Completed,True
SIG0986,AST0920,SEC020,Signal,Point Machine Servicing,Clutch slip,5,LOW,2025-08-15,2025-08-18,2025-10-22,11.1,15,LOW,Pending,True
SIG0987,AST0890,SEC065,Track Circuit,Interlocking Test,Route locking fault,3,MEDIUM,2025-06-28,2025-06-28,2025-07-24,1.5,6,MEDIUM,In Progress,True
SIG0988,AST0829,SEC004,Relay,Relay Replacement,Timing drift,3,MEDIUM,2025-02-10,2025-02-10,2025-03-09,10.6,3,MEDIUM,Pending,False
SIG0989,AST0751,SEC001,Level Crossing Equipment,Relay Replacement,Timing drift,1,CRITICAL,2025-06-06,2025-06-09,2025-06-12,8.6,4,HIGH,Pending,False
SIG0990,AST0758,SEC008,Communication Equipment,Track Circuit Maintenance,Bonding defect,4,LOW,2025-01-11,2025-01-13,2025-02-20,1.0,2,LOW,In Progress,False
SIG0991,AST0971,SEC071,Axle Counter,Track Circuit Maintenance,Bonding defect,5,LOW,2025-10-31,2025-10-31,2025-12-30,4.4,12,LOW,Scheduled,False
SIG0992,AST0847,SEC022,Level Crossing Equipment,Communication Equipment Repair,Control phone failure,3,MEDIUM,2025-01-27,2025-01-29,2025-02-12,1.5,14,MEDIUM,Cancelled,True
SIG0993,AST0908,SEC008,Interlocking,Axle Counter Calibration,Sensor misalignment,5,LOW,2025-02-14,2025-02-17,2025-04-13,3.2,14,LOW,Completed,False
SIG0994,AST0814,SEC064,Communication Equipment,Relay Replacement,Contact oxidation,3,MEDIUM,2025-01-13,2025-01-14,2025-02-04,4.4,4,MEDIUM,Pending,True
SIG0995,AST0749,SEC074,Relay,Track Circuit Maintenance,Feed-end issue,3,MEDIUM,2025-01-22,2025-01-24,2025-02-15,6.2,3,MEDIUM,Pending,True
SIG0996,AST0833,SEC008,Point Machine,Point Machine Servicing,Detection rod issue,4,LOW,2025-09-25,2025-09-26,2025-11-01,7.4,6,LOW,Pending,True
SIG0997,AST0827,SEC002,Axle Counter,Relay Replacement,Contact oxidation,1,CRITICAL,2025-04-14,2025-04-15,2025-04-18,10.0,3,HIGH,Completed,False
SIG0998,AST0869,SEC044,Relay,Relay Replacement,Contact oxidation,2,HIGH,2025-06-24,2025-06-24,2025-07-03,6.0,4,HIGH,Scheduled,False
SIG0999,AST0749,SEC074,Relay,Signal Inspection,Aspect error,4,LOW,2025-06-14,2025-06-15,2025-07-16,6.9,11,LOW,Completed,False
SIG1000,AST0708,SEC033,Interlocking,Communication Equipment Repair,Control phone failure,5,LOW,2025-07-05,2025-07-07,2025-09-12,11.2,8,LOW,Cancelled,True
SIG1001,AST0775,SEC025,Level Crossing Equipment,Signal Inspection,Aspect error,4,LOW,2025-11-18,2025-11-20,2026-01-15,5.0,12,LOW,Completed,True
SIG1002,AST0816,SEC066,Signal,Signal Inspection,Lens damage,3,MEDIUM,2025-02-22,2025-02-23,2025-03-16,2.6,13,MEDIUM,Completed,True
SIG1003,AST0749,SEC074,Relay,Signal Inspection,Lens damage,3,MEDIUM,2025-07-25,2025-07-28,2025-08-24,8.2,14,MEDIUM,Cancelled,False
SIG1004,AST0806,SEC056,Communication Equipment,Communication Equipment Repair,Fiber break,5,LOW,2025-08-13,2025-08-15,2025-11-07,6.4,14,LOW,In Progress,False
SIG1005,AST0835,SEC010,Axle Counter,Point Machine Servicing,Clutch slip,5,LOW,2025-11-18,2025-11-19,2026-02-14,9.8,12,LOW,Pending,False
SIG1006,AST0820,SEC070,Interlocking,Relay Replacement,Coil failure,5,LOW,2025-01-22,2025-01-24,2025-03-30,3.2,11,LOW,Scheduled,True
SIG1007,AST0854,SEC029,Communication Equipment,Relay Replacement,Mechanical wear,3,MEDIUM,2025-09-10,2025-09-11,2025-10-02,6.0,7,MEDIUM,Pending,False
SIG1008,AST0997,SEC022,Relay,Level Crossing Maintenance,Lighting defect,4,LOW,2025-01-21,2025-01-21,2025-03-14,2.2,2,LOW,Completed,True
SIG1009,AST0747,SEC072,Axle Counter,Relay Replacement,Mechanical wear,2,HIGH,2025-02-26,2025-02-28,2025-03-08,1.2,2,HIGH,In Progress,False
SIG1010,AST0857,SEC032,Point Machine,Relay Replacement,Timing drift,4,LOW,2025-05-12,2025-05-13,2025-06-23,10.7,3,LOW,In Progress,True
SIG1011,AST0979,SEC004,Axle Counter,Point Machine Servicing,Clutch slip,2,HIGH,2025-11-02,2025-11-04,2025-11-12,11.6,15,HIGH,Scheduled,False
SIG1012,AST0857,SEC032,Point Machine,Relay Replacement,Coil failure,2,HIGH,2025-10-11,2025-10-11,2025-10-20,6.2,3,HIGH,Pending,True
SIG1013,AST0774,SEC024,Communication Equipment,Signal Inspection,Signal post tilt,1,CRITICAL,2025-10-19,2025-10-22,2025-10-28,10.5,7,HIGH,Completed,False
SIG1014,AST0987,SEC012,Axle Counter,Relay Replacement,Timing drift,4,LOW,2025-07-20,2025-07-23,2025-09-10,2.0,14,LOW,Pending,False
SIG1015,AST0983,SEC008,Level Crossing Equipment,Track Circuit Maintenance,Bonding defect,1,CRITICAL,2025-07-17,2025-07-20,2025-07-26,2.9,5,HIGH,Completed,True
SIG1016,AST0719,SEC044,Level Crossing Equipment,Communication Equipment Repair,Control phone failure,1,CRITICAL,2025-06-24,2025-06-27,2025-07-01,11.8,5,HIGH,Cancelled,True
SIG1017,AST0854,SEC029,Communication Equipment,Track Circuit Maintenance,Insulation failure,2,HIGH,2025-05-06,2025-05-08,2025-05-18,6.3,2,HIGH,Pending,False
SIG1018,AST0847,SEC022,Level Crossing Equipment,Relay Replacement,Mechanical wear,3,MEDIUM,2025-08-20,2025-08-21,2025-09-04,10.8,14,MEDIUM,In Progress,False
SIG1019,AST0763,SEC013,Axle Counter,Axle Counter Calibration,Sensor misalignment,4,LOW,2025-02-02,2025-02-02,2025-04-02,8.8,6,LOW,Completed,True
SIG1020,AST0723,SEC048,Axle Counter,Point Machine Servicing,Detection rod issue,4,LOW,2025-07-13,2025-07-13,2025-08-14,10.1,7,LOW,Completed,True
SIG1021,AST0769,SEC019,Point Machine,Communication Equipment Repair,Control phone failure,5,LOW,2025-06-17,2025-06-19,2025-08-26,5.1,12,LOW,Scheduled,True
SIG1022,AST0944,SEC044,Signal,Communication Equipment Repair,OFC splice loss,3,MEDIUM,2025-05-25,2025-05-26,2025-06-16,2.0,11,MEDIUM,Pending,True
SIG1023,AST0765,SEC015,Relay,Level Crossing Maintenance,Gate motor issue,4,LOW,2025-04-05,2025-04-05,2025-05-01,6.7,10,LOW,Completed,False
SIG1024,AST0991,SEC016,Level Crossing Equipment,Relay Replacement,Timing drift,2,HIGH,2025-11-28,2025-11-28,2025-12-06,1.7,12,HIGH,In Progress,True
SIG1025,AST0857,SEC032,Point Machine,Communication Equipment Repair,Control phone failure,3,MEDIUM,2025-03-20,2025-03-20,2025-04-19,8.8,7,MEDIUM,Completed,True
SIG1026,AST0708,SEC033,Interlocking,Communication Equipment Repair,OFC splice loss,5,LOW,2025-05-27,2025-05-29,2025-07-24,8.0,2,LOW,Pending,True
SIG1027,AST0950,SEC050,Communication Equipment,Relay Replacement,Contact oxidation,3,MEDIUM,2025-04-23,2025-04-23,2025-05-12,7.6,10,MEDIUM,Pending,False
SIG1028,AST0942,SEC042,Communication Equipment,Signal Inspection,Lens damage,2,HIGH,2025-05-10,2025-05-11,2025-05-23,4.7,5,HIGH,Completed,False
SIG1029,AST0921,SEC021,Point Machine,Track Circuit Maintenance,Bonding defect,2,HIGH,2025-03-01,2025-03-03,2025-03-12,3.4,6,HIGH,Scheduled,False
SIG1030,AST0947,SEC047,Axle Counter,Axle Counter Calibration,Cable fault,3,MEDIUM,2025-06-18,2025-06-18,2025-07-12,8.7,13,MEDIUM,Completed,False
SIG1031,AST0836,SEC011,Interlocking,Level Crossing Maintenance,Lighting defect,4,LOW,2025-07-09,2025-07-10,2025-08-13,6.6,10,LOW,Scheduled,False
SIG1032,AST0902,SEC002,Communication Equipment,Track Circuit Maintenance,Bonding defect,1,CRITICAL,2025-02-16,2025-02-16,2025-02-23,10.2,7,HIGH,Scheduled,False
SIG1033,AST0776,SEC026,Signal,Communication Equipment Repair,Radio fault,4,LOW,2025-10-21,2025-10-24,2025-12-05,8.7,8,LOW,Completed,True
SIG1034,AST0820,SEC070,Interlocking,Interlocking Test,Signal interlocking mismatch,4,LOW,2025-01-25,2025-01-25,2025-02-26,11.4,6,LOW,Pending,True
SIG1035,AST0770,SEC020,Track Circuit,Track Circuit Maintenance,Feed-end issue,5,LOW,2025-02-06,2025-02-09,2025-04-21,5.4,9,LOW,Completed,True
SIG1036,AST0889,SEC064,Point Machine,Communication Equipment Repair,Fiber break,2,HIGH,2025-03-15,2025-03-15,2025-03-23,9.0,3,HIGH,Pending,False
SIG1037,AST0712,SEC037,Signal,Point Machine Servicing,Lock bar defect,2,HIGH,2025-03-20,2025-03-20,2025-03-28,7.5,12,HIGH,Scheduled,True
SIG1038,AST0884,SEC059,Interlocking,Interlocking Test,Overlap fault,3,MEDIUM,2025-10-18,2025-10-18,2025-11-01,6.0,12,MEDIUM,Completed,False
SIG1039,AST0739,SEC064,Axle Counter,Point Machine Servicing,Clutch slip,3,MEDIUM,2025-01-13,2025-01-15,2025-02-07,11.8,15,MEDIUM,Scheduled,False
SIG1040,AST0978,SEC003,Track Circuit,Point Machine Servicing,Motor fault,3,MEDIUM,2025-01-20,2025-01-23,2025-02-18,7.5,2,MEDIUM,Completed,True
SIG1041,AST0975,SEC075,Level Crossing Equipment,Axle Counter Calibration,Count error,4,LOW,2025-03-22,2025-03-23,2025-05-01,4.3,14,LOW,In Progress,False
SIG1042,AST0813,SEC063,Relay,Axle Counter Calibration,Reset failure,1,CRITICAL,2025-05-30,2025-05-30,2025-06-03,4.2,7,HIGH,Pending,True
SIG1043,AST0867,SEC042,Axle Counter,Level Crossing Maintenance,Lighting defect,4,LOW,2025-05-21,2025-05-23,2025-06-18,5.2,9,LOW,Pending,True
SIG1044,AST0857,SEC032,Point Machine,Track Circuit Maintenance,Insulation failure,1,CRITICAL,2025-01-13,2025-01-14,2025-01-21,6.8,10,HIGH,Scheduled,True
SIG1045,AST0757,SEC007,Relay,Signal Inspection,Signal post tilt,5,LOW,2025-12-14,2025-12-17,2026-02-12,4.7,13,LOW,Scheduled,False
SIG1046,AST0936,SEC036,Signal,Level Crossing Maintenance,Boom barrier fault,4,LOW,2025-05-03,2025-05-04,2025-06-14,9.4,7,LOW,Completed,True
SIG1047,AST0794,SEC044,Track Circuit,Axle Counter Calibration,Reset failure,1,CRITICAL,2025-11-01,2025-11-02,2025-11-09,8.7,4,HIGH,Completed,True
SIG1048,AST0860,SEC035,Interlocking,Relay Replacement,Timing drift,4,LOW,2025-02-18,2025-02-18,2025-04-06,11.5,6,LOW,Pending,True
SIG1049,AST0782,SEC032,Communication Equipment,Communication Equipment Repair,Radio fault,3,MEDIUM,2025-09-05,2025-09-07,2025-09-21,4.4,7,MEDIUM,Scheduled,False
SIG1050,AST0850,SEC025,Track Circuit,Axle Counter Calibration,Sensor misalignment,2,HIGH,2025-06-23,2025-06-25,2025-07-06,1.7,10,HIGH,In Progress,True
SIG1051,AST0743,SEC068,Level Crossing Equipment,Point Machine Servicing,Motor fault,3,MEDIUM,2025-07-29,2025-08-01,2025-08-15,8.0,8,MEDIUM,Completed,False
SIG1052,AST0977,SEC002,Point Machine,Relay Replacement,Timing drift,5,LOW,2025-01-18,2025-01-19,2025-03-16,9.5,14,LOW,In Progress,True
SIG1053,AST0701,SEC026,Relay,Signal Inspection,Lamp failure,5,LOW,2025-05-25,2025-05-25,2025-08-15,4.0,7,LOW,Scheduled,True
SIG1054,AST0989,SEC014,Relay,Communication Equipment Repair,Fiber break,3,MEDIUM,2025-09-26,2025-09-28,2025-10-21,6.1,13,MEDIUM,Completed,False
