task_id,asset_id,section_id,task_type,defect_type,severity,criticality,inspection_date,reported_date,due_date,estimated_duration_hours,required_team_size,safety_impact,status
ENG0575,AST0129,SEC054,Rail Replacement,Severely worn rail,3,MEDIUM,2025-01-06,2025-01-07,2025-02-05,6.7,13,MEDIUM,In Progress
ENG0576,AST0190,SEC040,Welding,Weld crack,4,LOW,2025-04-24,2025-04-24,2025-06-19,10.3,5,LOW,Pending
ENG0577,AST0251,SEC026,Welding,Misaligned weld,3,MEDIUM,2025-07-01,2025-07-03,2025-07-31,7.7,14,MEDIUM,Completed
ENG0578,AST0058,SEC058,Rail Inspection,Worn rail head,2,HIGH,2025-02-09,2025-02-10,2025-02-17,10.2,9,HIGH,Completed
ENG0579,AST0248,SEC023,Rail Inspection,Worn rail head,3,MEDIUM,2025-03-24,2025-03-26,2025-04-25,3.7,12,MEDIUM,Completed
ENG0580,AST0339,SEC039,Sleeper Replacement,Cracked sleeper,2,HIGH,2025-08-12,2025-08-14,2025-08-24,5.0,4,HIGH,Scheduled
ENG0581,AST0227,SEC002,Turnout Maintenance,Switch tongue wear,3,MEDIUM,2025-07-23,2025-07-24,2025-08-19,8.7,12,MEDIUM,Completed
ENG0582,AST0005,SEC005,Rail Replacement,Severely worn rail,3,MEDIUM,2025-02-02,2025-02-04,2025-02-25,3.6,10,MEDIUM,Pending
ENG0583,AST0033,SEC033,Rail Replacement,Broken rail,3,MEDIUM,2025-06-14,2025-06-17,2025-07-04,1.3,5,MEDIUM,Completed
ENG0584,AST0018,SEC018,Rail Inspection,Rail crack,2,HIGH,2025-01-25,2025-01-28,2025-02-10,4.0,4,HIGH,Scheduled
ENG0585,AST0383,SEC008,Rail Inspection,Gauge deviation,4,LOW,2025-12-03,2025-12-03,2026-01-05,1.4,10,LOW,Completed
ENG0586,AST0057,SEC057,Rail Inspection,Worn rail head,3,MEDIUM,2025-01-26,2025-01-27,2025-02-26,4.9,7,MEDIUM,Cancelled
ENG0587,AST0380,SEC005,Turnout Maintenance,Switch tongue wear,3,MEDIUM,2025-12-02,2025-12-05,2025-12-23,2.9,4,MEDIUM,Completed
ENG0588,AST0151,SEC001,Welding,Thermit weld defect,3,MEDIUM,2025-12-04,2025-12-07,2025-12-30,7.4,14,MEDIUM,Completed
ENG0589,AST0351,SEC051,Rail Replacement,End-post fracture,4,LOW,2025-01-13,2025-01-15,2025-03-12,2.4,5,LOW,In Progress
ENG0590,AST0282,SEC057,Turnout Maintenance,Crossing nose defect,4,LOW,2025-02-02,2025-02-03,2025-02-28,8.3,15,LOW,Pending
ENG0591,AST0103,SEC028,Sleeper Replacement,Broken concrete sleeper,3,MEDIUM,2025-04-27,2025-04-28,2025-05-18,6.8,13,MEDIUM,Completed
ENG0592,AST0097,SEC022,Rail Replacement,Rail end batter,4,LOW,2025-12-07,2025-12-07,2026-01-16,5.9,11,LOW,Completed
ENG0593,AST0307,SEC007,Rail Replacement,Broken rail,4,LOW,2025-05-01,2025-05-03,2025-06-07,2.8,5,LOW,In Progress
ENG0594,AST0137,SEC062,Welding,Weld crack,3,MEDIUM,2025-02-28,2025-03-01,2025-03-29,1.8,8,MEDIUM,Pending
ENG0595,AST0018,SEC018,Sleeper Replacement,Cracked sleeper,2,HIGH,2025-09-17,2025-09-20,2025-10-01,3.2,13,HIGH,Completed
ENG0596,AST0059,SEC059,Sleeper Replacement,Missing sleeper,4,LOW,2025-07-22,2025-07-25,2025-08-27,5.0,6,LOW,Completed
ENG0597,AST0288,SEC063,Rail Replacement,End-post fracture,3,MEDIUM,2025-01-01,2025-01-01,2025-01-18,10.8,11,MEDIUM,Cancelled
ENG0598,AST0278,SEC053,Rail Replacement,End-post fracture,4,LOW,2025-09-21,2025-09-21,2025-10-27,7.5,10,LOW,Pending
ENG0599,AST0138,SEC063,Track Geometry Correction,Twist fault,3,MEDIUM,2025-03-22,2025-03-22,2025-04-10,5.9,4,MEDIUM,Cancelled
ENG0600,AST0117,SEC042,Ballast Maintenance,Fouled ballast,2,HIGH,2025-10-12,2025-10-13,2025-10-24,11.7,8,HIGH,Completed
ENG0601,AST0035,SEC035,Track Geometry Correction,Gauge irregularity,5,LOW,2025-10-17,2025-10-19,2025-12-23,6.3,5,LOW,Completed
ENG0602,AST0168,SEC018,Rail Replacement,Broken rail,2,HIGH,2025-01-28,2025-01-28,2025-02-10,1.1,5,HIGH,Cancelled
ENG0603,AST0226,SEC001,Ballast Maintenance,Drainage blockage,2,HIGH,2025-11-11,2025-11-12,2025-11-19,3.7,2,HIGH,Scheduled
ENG0604,AST0297,SEC072,Track Alignment,Vertical misalignment,4,LOW,2025-09-14,2025-09-16,2025-11-14,8.9,5,LOW,Completed
ENG0605,AST0091,SEC016,Rail Replacement,Rail end batter,2,HIGH,2025-07-03,2025-07-06,2025-07-18,7.4,5,HIGH,Completed
ENG0606,AST0015,SEC015,Track Geometry Correction,Twist fault,2,HIGH,2025-10-16,2025-10-16,2025-10-23,7.8,11,HIGH,Completed
ENG0607,AST0081,SEC006,Track Alignment,Cant deficiency,4,LOW,2025-09-02,2025-09-02,2025-09-27,11.3,12,LOW,Scheduled
ENG0608,AST0371,SEC071,Turnout Maintenance,Point mechanism fault,5,LOW,2025-01-27,2025-01-30,2025-04-30,10.6,12,LOW,Scheduled
ENG0609,AST0199,SEC049,Welding,Thermit weld defect,2,HIGH,2025-09-28,2025-09-28,2025-10-06,10.3,8,HIGH,Completed
ENG0610,AST0092,SEC017,Track Geometry Correction,Alignment defect,4,LOW,2025-06-25,2025-06-26,2025-08-06,4.8,4,LOW,Completed
ENG0611,AST0139,SEC064,Ballast Maintenance,Fouled ballast,5,LOW,2025-01-19,2025-01-22,2025-03-23,5.6,9,LOW,Scheduled
ENG0612,AST0126,SEC051,Rail Replacement,Broken rail,3,MEDIUM,2025-01-11,2025-01-11,2025-02-06,2.3,5,MEDIUM,Completed
ENG0613,AST0013,SEC013,Welding,Weld crack,1,CRITICAL,2025-11-26,2025-11-28,2025-12-04,10.9,2,HIGH,In Progress
ENG0614,AST0186,SEC036,Ballast Maintenance,Insufficient ballast,5,LOW,2025-01-05,2025-01-06,2025-04-05,11.9,9,LOW,Completed
ENG0615,AST0137,SEC062,Sleeper Replacement,Decayed wooden sleeper,5,LOW,2025-06-23,2025-06-24,2025-08-09,10.2,3,LOW,In Progress
ENG0616,AST0033,SEC033,Turnout Maintenance,Crossing nose defect,5,LOW,2025-02-20,2025-02-22,2025-05-06,10.7,9,LOW,Cancelled
ENG0617,AST0146,SEC071,Track Geometry Correction,Gauge irregularity,1,CRITICAL,2025-07-11,2025-07-13,2025-07-18,2.1,2,HIGH,Completed
ENG0618,AST0202,SEC052,Turnout Maintenance,Check rail gap,3,MEDIUM,2025-02-11,2025-02-13,2025-03-06,8.1,11,MEDIUM,Scheduled
ENG0619,AST0077,SEC002,Welding,Weld depression,3,MEDIUM,2025-04-29,2025-04-30,2025-05-16,5.3,3,MEDIUM,In Progress
ENG0620,AST0154,SEC004,Rail Replacement,End-post fracture,3,MEDIUM,2025-11-13,2025-11-14,2025-12-07,5.5,14,MEDIUM,Scheduled
ENG0621,AST0072,SEC072,Rail Replacement,Severely worn rail,2,HIGH,2025-05-04,2025-05-07,2025-05-20,2.9,3,HIGH,Cancelled
ENG0622,AST0292,SEC067,Rail Replacement,Broken rail,3,MEDIUM,2025-11-07,2025-11-08,2025-11-29,4.7,3,MEDIUM,Completed
ENG0623,AST0257,SEC032,Track Alignment,Buckling risk,2,HIGH,2025-05-08,2025-05-09,2025-05-17,6.8,15,HIGH,In Progress
ENG0624,AST0025,SEC025,Ballast Maintenance,Insufficient ballast,5,LOW,2025-02-28,2025-03-03,2025-05-15,5.7,2,LOW,Scheduled
ENG0625,AST0194,SEC044,Rail Replacement,Severely worn rail,3,MEDIUM,2025-02-24,2025-02-24,2025-03-16,6.3,8,MEDIUM,Completed
ENG0626,AST0121,SEC046,Rail Replacement,Rail end batter,3,MEDIUM,2025-04-09,2025-04-10,2025-05-03,9.5,13,MEDIUM,Completed
ENG0627,AST0320,SEC020,Turnout Maintenance,Switch tongue wear,2,HIGH,2025-09-08,2025-09-10,2025-09-21,6.0,10,HIGH,Scheduled
ENG0628,AST0295,SEC070,Rail Inspection,Rail crack,2,HIGH,2025-10-09,2025-10-11,2025-10-23,11.3,3,HIGH,Scheduled
ENG0629,AST0055,SEC055,Track Geometry Correction,Cross-level error,2,HIGH,2025-07-26,2025-07-29,2025-08-13,10.4,8,HIGH,Completed
ENG0630,AST0078,SEC003,Rail Inspection,Worn rail head,2,HIGH,2025-02-01,2025-02-02,2025-02-10,5.6,4,HIGH,Pending
ENG0631,AST0215,SEC065,Rail Replacement,Rail end batter,2,HIGH,2025-01-09,2025-01-12,2025-01-22,1.5,14,HIGH,Completed
ENG0632,AST0389,SEC014,Rail Inspection,Worn rail head,3,MEDIUM,2025-04-24,2025-04-26,2025-05-17,6.9,10,MEDIUM,Pending
ENG0633,AST0106,SEC031,Ballast Maintenance,Fouled ballast,4,LOW,2025-08-13,2025-08-15,2025-09-10,10.6,5,LOW,Scheduled
ENG0634,AST0244,SEC019,Rail Replacement,End-post fracture,1,CRITICAL,2025-08-28,2025-08-29,2025-09-01,10.7,2,HIGH,Completed
ENG0635,AST0110,SEC035,Rail Inspection,Gauge deviation,4,LOW,2025-02-18,2025-02-20,2025-04-13,7.6,4,LOW,Completed
ENG0636,AST0311,SEC011,Track Geometry Correction,Twist fault,2,HIGH,2025-12-16,2025-12-16,2025-12-24,5.3,9,HIGH,Scheduled
ENG0637,AST0389,SEC014,Rail Replacement,Severely worn rail,2,HIGH,2025-05-16,2025-05-19,2025-05-30,1.3,5,HIGH,Completed
ENG0638,AST0069,SEC069,Turnout Maintenance,Switch tongue wear,3,MEDIUM,2025-04-23,2025-04-24,2025-05-09,4.2,8,MEDIUM,Pending
ENG0639,AST0179,SEC029,Turnout Maintenance,Point mechanism fault,2,HIGH,2025-10-03,2025-10-06,2025-10-17,2.4,12,HIGH,Pending
ENG0640,AST0394,SEC019,Turnout Maintenance,Switch tongue wear,1,CRITICAL,2025-06-25,2025-06-28,2025-07-05,7.5,14,HIGH,Scheduled
ENG0641,AST0252,SEC027,Track Geometry Correction,Twist fault,3,MEDIUM,2024-12-29,2025-01-01,2025-01-21,7.7,9,MEDIUM,Completed
ENG0642,AST0361,SEC061,Ballast Maintenance,Vegetation growth,3,MEDIUM,2025-06-07,2025-06-07,2025-06-25,1.9,5,MEDIUM,Cancelled
ENG0643,AST0302,SEC002,Track Alignment,Lateral misalignment,4,LOW,2025-10-03,2025-10-06,2025-10-31,11.1,6,LOW,Completed
ENG0644,AST0269,SEC044,Sleeper Replacement,Missing sleeper,1,CRITICAL,2025-02-28,2025-03-03,2025-03-10,4.6,6,HIGH,Pending
ENG0645,AST0375,SEC075,Track Geometry Correction,Gauge irregularity,4,LOW,2025-01-25,2025-01-26,2025-03-07,5.4,14,LOW,Pending
ENG0646,AST0379,SEC004,Ballast Maintenance,Drainage blockage,3,MEDIUM,2025-10-26,2025-10-28,2025-11-21,7.6,7,MEDIUM,Cancelled
ENG0647,AST0307,SEC007,Ballast Maintenance,Fouled ballast,3,MEDIUM,2025-03-01,2025-03-01,2025-03-15,10.3,2,MEDIUM,Cancelled
ENG0648,AST0010,SEC010,Rail Replacement,Severely worn rail,2,HIGH,2025-07-25,2025-07-25,2025-08-08,3.2,6,HIGH,Scheduled
ENG0649,AST0379,SEC004,Sleeper Replacement,Cracked sleeper,4,LOW,2025-11-23,2025-11-24,2025-12-24,2.0,14,LOW,Completed
ENG0650,AST0196,SEC046,Welding,Misaligned weld,3,MEDIUM,2025-06-10,2025-06-10,2025-06-26,4.9,13,MEDIUM,Pending
ENG0651,AST0007,SEC007,Welding,Misaligned weld,3,MEDIUM,2025-08-13,2025-08-16,2025-09-14,3.5,13,MEDIUM,Completed
ENG0652,AST0282,SEC057,Track Geometry Correction,Cross-level error,5,LOW,2025-11-16,2025-11-18,2026-01-22,8.6,14,LOW,Completed
ENG0653,AST0014,SEC014,Ballast Maintenance,Vegetation growth,2,HIGH,2025-12-08,2025-12-10,2025-12-21,1.5,10,HIGH,Scheduled
ENG0654,AST0182,SEC032,Track Alignment,Buckling risk,3,MEDIUM,2025-10-13,2025-10-14,2025-11-09,3.1,7,MEDIUM,Completed
ENG0655,AST0046,SEC046,Welding,Misaligned weld,4,LOW,2025-01-12,2025-01-15,2025-02-24,8.2,8,LOW,Completed
ENG0656,AST0208,SEC058,Turnout Maintenance,Point mechanism fault,2,HIGH,2025-09-18,2025-09-20,2025-10-04,11.3,5,HIGH,Completed
ENG0657,AST0259,SEC034,Sleeper Replacement,Broken concrete sleeper,5,LOW,2025-05-21,2025-05-22,2025-07-29,11.5,3,LOW,Pending
ENG0658,AST0078,SEC003,Track Alignment,Buckling risk,1,CRITICAL,2025-04-24,2025-04-24,2025-04-27,1.9,8,HIGH,Completed
ENG0659,AST0068,SEC068,Turnout Maintenance,Crossing nose defect,4,LOW,2025-04-18,2025-04-18,2025-05-26,11.2,6,LOW,Scheduled
ENG0660,AST0238,SEC013,Ballast Maintenance,Vegetation growth,4,LOW,2025-05-28,2025-05-29,2025-07-03,4.5,10,LOW,Scheduled
ENG0661,AST0067,SEC067,Track Geometry Correction,Gauge irregularity,4,LOW,2025-05-14,2025-05-14,2025-07-12,5.8,10,LOW,Scheduled
ENG0662,AST0084,SEC009,Turnout Maintenance,Switch tongue wear,3,MEDIUM,2025-11-09,2025-11-09,2025-12-05,10.3,4,MEDIUM,Pending
ENG0663,AST0278,SEC053,Ballast Maintenance,Insufficient ballast,2,HIGH,2025-04-13,2025-04-14,2025-04-22,5.6,15,HIGH,Pending
ENG0664,AST0083,SEC008,Track Alignment,Cant deficiency,4,LOW,2025-10-15,2025-10-15,2025-11-22,5.0,11,LOW,Completed
ENG0665,AST0206,SEC056,Sleeper Replacement,Cracked sleeper,3,MEDIUM,2025-09-16,2025-09-16,2025-10-11,5.9,3,MEDIUM,Pending
ENG0666,AST0249,SEC024,Rail Inspection,Corrugation,3,MEDIUM,2025-09-07,2025-09-10,2025-10-02,1.8,11,MEDIUM,Completed
ENG0667,AST0026,SEC026,Turnout Maintenance,Switch tongue wear,2,HIGH,2025-01-19,2025-01-22,2025-01-29,2.0,15,HIGH,Completed
ENG0668,AST0092,SEC017,Sleeper Replacement,Broken concrete sleeper,4,LOW,2025-02-16,2025-02-16,2025-03-13,1.9,10,LOW,In Progress
ENG0669,AST0077,SEC002,Track Geometry Correction,Gauge irregularity,2,HIGH,2025-11-03,2025-11-06,2025-11-16,10.7,12,HIGH,Pending
ENG0670,AST0299,SEC074,Track Alignment,Buckling risk,2,HIGH,2025-04-13,2025-04-16,2025-04-24,4.4,4,HIGH,Cancelled
ENG0671,AST0346,SEC046,Track Geometry Correction,Gauge irregularity,2,HIGH,2025-04-05,2025-04-06,2025-04-15,3.7,14,HIGH,Cancelled
ENG0672,AST0202,SEC052,Sleeper Replacement,Cracked sleeper,4,LOW,2025-10-01,2025-10-02,2025-11-28,8.1,3,LOW,Scheduled
ENG0673,AST0084,SEC009,Rail Inspection,Rail crack,3,MEDIUM,2025-12-20,2025-12-20,2026-01-15,4.4,10,MEDIUM,Completed
ENG0674,AST0009,SEC009,Ballast Maintenance,Vegetation growth,3,MEDIUM,2025-06-16,2025-06-17,2025-07-01,2.8,5,MEDIUM,Pending
ENG0675,AST0093,SEC018,Turnout Maintenance,Switch tongue wear,3,MEDIUM,2025-10-30,2025-11-02,2025-11-25,5.0,5,MEDIUM,In Progress
ENG0676,AST0116,SEC041,Sleeper Replacement,Cracked sleeper,3,MEDIUM,2025-09-25,2025-09-28,2025-10-27,8.1,5,MEDIUM,Pending
ENG0677,AST0062,SEC062,Track Geometry Correction,Twist fault,3,MEDIUM,2025-05-25,2025-05-26,2025-06-18,7.7,9,MEDIUM,Scheduled
ENG0678,AST0355,SEC055,Rail Inspection,Worn rail head,5,LOW,2025-12-01,2025-12-01,2026-02-13,11.7,9,LOW,Pending
ENG0679,AST0188,SEC038,Ballast Maintenance,Insufficient ballast,5,LOW,2025-04-20,2025-04-22,2025-07-12,7.5,12,LOW,Cancelled
ENG0680,AST0028,SEC028,Welding,Weld crack,1,CRITICAL,2025-06-15,2025-06-15,2025-06-21,4.2,4,HIGH,Pending
ENG0681,AST0099,SEC024,Turnout Maintenance,Switch tongue wear,5,LOW,2025-09-04,2025-09-06,2025-11-27,11.0,2,LOW,Pending
ENG0682,AST0061,SEC061,Rail Inspection,Corrugation,4,LOW,2025-10-20,2025-10-21,2025-11-23,2.5,14,LOW,Scheduled
ENG0683,AST0103,SEC028,Ballast Maintenance,Fouled ballast,5,LOW,2025-01-26,2025-01-29,2025-03-12,7.5,14,LOW,Pending
ENG0684,AST0216,SEC066,Sleeper Replacement,Decayed wooden sleeper,3,MEDIUM,2025-10-11,2025-10-11,2025-11-02,8.3,13,MEDIUM,Completed
ENG0685,AST0278,SEC053,Track Geometry Correction,Cross-level error,3,MEDIUM,2025-05-26,2025-05-27,2025-06-25,11.2,9,MEDIUM,Scheduled
ENG0686,AST0087,SEC012,Track Alignment,Lateral misalignment,4,LOW,2025-07-14,2025-07-17,2025-09-10,7.9,4,LOW,Cancelled
ENG0687,AST0224,SEC074,Ballast Maintenance,Drainage blockage,2,HIGH,2025-10-08,2025-10-11,2025-10-18,3.4,14,HIGH,In Progress
ENG0688,AST0279,SEC054,Ballast Maintenance,Insufficient ballast,2,HIGH,2025-02-19,2025-02-21,2025-02-28,8.2,13,HIGH,Pending
ENG0689,AST0155,SEC005,Turnout Maintenance,Crossing nose defect,4,LOW,2025-10-11,2025-10-11,2025-11-22,10.9,9,LOW,Completed
ENG0690,AST0373,SEC073,Sleeper Replacement,Decayed wooden sleeper,3,MEDIUM,2025-08-06,2025-08-09,2025-08-31,8.7,9,MEDIUM,Scheduled
ENG0691,AST0090,SEC015,Track Alignment,Vertical misalignment,5,LOW,2025-06-27,2025-06-27,2025-08-09,10.8,9,LOW,Completed
ENG0692,AST0048,SEC048,Ballast Maintenance,Fouled ballast,3,MEDIUM,2025-10-30,2025-11-01,2025-11-20,4.5,11,MEDIUM,Pending
ENG0693,AST0090,SEC015,Ballast Maintenance,Vegetation growth,3,MEDIUM,2025-02-05,2025-02-07,2025-03-06,4.8,15,MEDIUM,Pending
ENG0694,AST0061,SEC061,Track Geometry Correction,Alignment defect,4,LOW,2025-09-15,2025-09-15,2025-11-06,11.3,7,LOW,Completed
ENG0695,AST0111,SEC036,Track Geometry Correction,Twist fault,4,LOW,2025-09-04,2025-09-07,2025-10-09,8.3,8,LOW,Pending
ENG0696,AST0198,SEC048,Turnout Maintenance,Check rail gap,4,LOW,2025-03-23,2025-03-26,2025-05-25,9.9,5,LOW,Pending
ENG0697,AST0129,SEC054,Track Alignment,Vertical misalignment,1,CRITICAL,2025-05-04,2025-05-04,2025-05-10,4.9,9,HIGH,Pending
ENG0698,AST0289,SEC064,Sleeper Replacement,Cracked sleeper,3,MEDIUM,2025-08-05,2025-08-07,2025-08-25,8.0,6,MEDIUM,Scheduled
ENG0699,AST0385,SEC010,Welding,Weld crack,5,LOW,2025-01-31,2025-02-02,2025-04-27,2.7,6,LOW,Cancelled
ENG0700,AST0174,SEC024,Rail Replacement,End-post fracture,3,MEDIUM,2025-10-20,2025-10-22,2025-11-05,10.2,4,MEDIUM,Completed
ENG0701,AST0147,SEC072,Turnout Maintenance,Switch tongue wear,4,LOW,2025-01-16,2025-01-18,2025-03-01,2.9,10,LOW,Scheduled
ENG0702,AST0030,SEC030,Track Geometry Correction,Alignment defect,3,MEDIUM,2025-08-09,2025-08-09,2025-08-27,1.7,5,MEDIUM,Cancelled
ENG0703,AST0113,SEC038,Ballast Maintenance,Vegetation growth,5,LOW,2025-04-23,2025-04-23,2025-06-26,1.4,6,LOW,Pending
ENG0704,AST0015,SEC015,Sleeper Replacement,Missing sleeper,5,LOW,2025-11-20,2025-11-22,2026-02-02,6.5,2,LOW,Scheduled
ENG0705,AST0131,SEC056,Turnout Maintenance,Point mechanism fault,3,MEDIUM,2025-09-17,2025-09-20,2025-10-04,9.6,14,MEDIUM,Scheduled
ENG0706,AST0004,SEC004,Welding,Weld depression,3,MEDIUM,2025-10-04,2025-10-04,2025-10-20,9.8,8,MEDIUM,Pending
ENG0707,AST0279,SEC054,Track Alignment,Cant deficiency,2,HIGH,2025-07-19,2025-07-20,2025-07-29,7.5,9,HIGH,Scheduled
ENG0708,AST0202,SEC052,Track Alignment,Cant deficiency,4,LOW,2025-03-02,2025-03-03,2025-04-23,9.3,4,LOW,Cancelled
ENG0709,AST0316,SEC016,Welding,Weld crack,2,HIGH,2025-08-29,2025-08-29,2025-09-07,9.9,12,HIGH,Pending
ENG0710,AST0351,SEC051,Ballast Maintenance,Insufficient ballast,3,MEDIUM,2025-02-28,2025-02-28,2025-03-17,3.9,9,MEDIUM,Pending
ENG0711,AST0260,SEC035,Ballast Maintenance,Insufficient ballast,4,LOW,2025-11-21,2025-11-22,2026-01-13,7.7,12,LOW,Cancelled
ENG0712,AST0038,SEC038,Turnout Maintenance,Switch tongue wear,2,HIGH,2025-01-17,2025-01-20,2025-01-31,7.3,6,HIGH,In Progress
ENG0713,AST0037,SEC037,Welding,Weld crack,2,HIGH,2025-05-17,2025-05-19,2025-05-26,11.6,15,HIGH,Completed
ENG0714,AST0297,SEC072,Track Alignment,Cant deficiency,3,MEDIUM,2025-08-12,2025-08-13,2025-08-31,2.6,3,MEDIUM,Pending
ENG0715,AST0236,SEC011,Rail Inspection,Surface defect,3,MEDIUM,2025-06-04,2025-06-05,2025-07-03,5.7,2,MEDIUM,Scheduled
ENG0716,AST0318,SEC018,Track Alignment,Cant deficiency,4,LOW,2025-10-07,2025-10-07,2025-11-22,5.3,6,LOW,Completed
ENG0717,AST0368,SEC068,Rail Inspection,Surface defect,3,MEDIUM,2025-05-15,2025-05-16,2025-06-15,2.8,11,MEDIUM,Completed
ENG0718,AST0052,SEC052,Track Alignment,Vertical misalignment,4,LOW,2025-08-28,2025-08-30,2025-10-07,2.5,8,LOW,Completed
ENG0719,AST0274,SEC049,Turnout Maintenance,Crossing nose defect,4,LOW,2025-07-25,2025-07-26,2025-09-07,10.3,6,LOW,Scheduled
ENG0720,AST0197,SEC047,Rail Replacement,Severely worn rail,1,CRITICAL,2025-01-06,2025-01-06,2025-01-12,4.4,10,HIGH,Scheduled
ENG0721,AST0316,SEC016,Track Alignment,Lateral misalignment,5,LOW,2025-11-28,2025-12-01,2026-02-08,8.0,3,LOW,Completed
ENG0722,AST0194,SEC044,Rail Inspection,Corrugation,1,CRITICAL,2025-12-20,2025-12-20,2025-12-23,6.8,6,HIGH,Completed
ENG0723,AST0247,SEC022,Rail Inspection,Gauge deviation,1,CRITICAL,2025-06-01,2025-06-01,2025-06-07,6.4,7,HIGH,Completed
ENG0724,AST0269,SEC044,Track Alignment,Vertical misalignment,3,MEDIUM,2025-05-30,2025-05-30,2025-06-23,9.4,3,MEDIUM,Scheduled
ENG0725,AST0317,SEC017,Sleeper Replacement,Decayed wooden sleeper,4,LOW,2025-10-07,2025-10-08,2025-11-10,3.8,14,LOW,Completed
ENG0726,AST0109,SEC034,Track Alignment,Buckling risk,5,LOW,2025-10-13,2025-10-14,2026-01-04,2.4,9,LOW,Scheduled
ENG0727,AST0174,SEC024,Welding,Thermit weld defect,4,LOW,2025-08-27,2025-08-30,2025-10-04,10.9,15,LOW,Pending
ENG0728,AST0273,SEC048,Turnout Maintenance,Crossing nose defect,5,LOW,2025-06-19,2025-06-19,2025-08-10,8.1,6,LOW,Scheduled
ENG0729,AST0011,SEC011,Rail Replacement,Broken rail,3,MEDIUM,2025-05-17,2025-05-17,2025-06-10,1.8,9,MEDIUM,Pending
ENG0730,AST0322,SEC022,Rail Inspection,Rail crack,4,LOW,2025-09-22,2025-09-23,2025-11-16,6.9,12,LOW,Scheduled
ENG0731,AST0026,SEC026,Track Alignment,Buckling risk,3,MEDIUM,2025-03-10,2025-03-13,2025-03-29,2.8,5,MEDIUM,Pending
ENG0732,AST0365,SEC065,Sleeper Replacement,Decayed wooden sleeper,2,HIGH,2025-10-07,2025-10-07,2025-10-21,5.9,7,HIGH,In Progress
ENG0733,AST0151,SEC001,Rail Replacement,Broken rail,2,HIGH,2024-12-31,2025-01-02,2025-01-16,11.4,12,HIGH,Scheduled
ENG0734,AST0281,SEC056,Welding,Thermit weld defect,3,MEDIUM,2025-12-08,2025-12-09,2025-12-28,7.4,7,MEDIUM,Completed
ENG0735,AST0020,SEC020,Welding,Misaligned weld,4,LOW,2025-09-19,2025-09-20,2025-10-18,9.6,3,LOW,Scheduled
ENG0736,AST0041,SEC041,Track Alignment,Vertical misalignment,2,HIGH,2025-09-30,2025-10-01,2025-10-16,1.3,9,HIGH,Completed
ENG0737,AST0297,SEC072,Track Geometry Correction,Alignment defect,4,LOW,2025-05-07,2025-05-07,2025-06-26,5.2,6,LOW,Completed
ENG0738,AST0103,SEC028,Turnout Maintenance,Crossing nose defect,5,LOW,2025-06-10,2025-06-12,2025-07-26,6.6,2,LOW,Cancelled
ENG0739,AST0329,SEC029,Track Geometry Correction,Twist fault,3,MEDIUM,2025-08-04,2025-08-05,2025-09-04,3.1,6,MEDIUM,Pending
ENG0740,AST0215,SEC065,Ballast Maintenance,Fouled ballast,3,MEDIUM,2025-09-14,2025-09-14,2025-10-10,5.5,14,MEDIUM,Pending
ENG0741,AST0081,SEC006,Ballast Maintenance,Insufficient ballast,2,HIGH,2025-10-07,2025-10-07,2025-10-17,6.8,8,HIGH,Pending
ENG0742,AST0371,SEC071,Track Alignment,Buckling risk,4,LOW,2025-01-12,2025-01-12,2025-03-04,7.8,14,LOW,Scheduled
ENG0743,AST0165,SEC015,Ballast Maintenance,Drainage blockage,3,MEDIUM,2025-04-03,2025-04-06,2025-05-05,7.2,9,MEDIUM,Completed
ENG0744,AST0146,SEC071,Sleeper Replacement,Missing sleeper,4,LOW,2025-07-22,2025-07-23,2025-09-01,10.0,6,LOW,Scheduled
ENG0745,AST0122,SEC047,Rail Replacement,Broken rail,1,CRITICAL,2025-12-03,2025-12-04,2025-12-09,2.6,4,HIGH,Pending
ENG0746,AST0360,SEC060,Welding,Misaligned weld,2,HIGH,2025-11-08,2025-11-11,2025-11-25,1.7,9,HIGH,Scheduled
ENG0747,AST0020,SEC020,Sleeper Replacement,Missing sleeper,3,MEDIUM,2025-09-06,2025-09-08,2025-10-04,1.3,7,MEDIUM,Cancelled
ENG0748,AST0290,SEC065,Track Alignment,Vertical misalignment,4,LOW,2025-04-03,2025-04-04,2025-05-21,7.4,6,LOW,Pending
ENG0749,AST0208,SEC058,Sleeper Replacement,Decayed wooden sleeper,3,MEDIUM,2025-10-28,2025-10-29,2025-11-21,4.2,13,MEDIUM,Pending
ENG0750,AST0062,SEC062,Track Geometry Correction,Gauge irregularity,3,MEDIUM,2025-01-06,2025-01-08,2025-01-31,11.6,2,MEDIUM,Pending
ENG0751,AST0224,SEC074,Rail Replacement,End-post fracture,3,MEDIUM,2025-04-12,2025-04-14,2025-05-07,4.6,3,MEDIUM,Scheduled
ENG0752,AST0308,SEC008,Turnout Maintenance,Check rail gap,3,MEDIUM,2025-12-13,2025-12-13,2025-12-31,7.4,8,MEDIUM,Pending
ENG0753,AST0243,SEC018,Track Geometry Correction,Cross-level error,3,MEDIUM,2025-12-09,2025-12-11,2026-01-06,11.3,4,MEDIUM,Pending
ENG0754,AST0123,SEC048,Rail Replacement,Broken rail,5,LOW,2025-04-07,2025-04-09,2025-06-06,4.8,3,LOW,Pending
